Protocol,Smart Contract Name,Repo Link,Category,Smart Contract Address
,MakerDAO-MCD_JOIN_UNIV2DAIUSDT_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0xAf034D882169328CAf43b823a4083dABC7EEE0F4
,MakerDAO-PIP_UNIV2DAIUSDT,https://github.com/makerdao/univ2-lp-oracle,DeFi;Collateralized Debt Position (CDP),0x9A1CD705dc7ac64B50777BcEcA3529E58B1292F1
,MakerDAO-RWA001,https://github.com/makerdao/rwa-toolkit,DeFi;Collateralized Debt Position (CDP),0x10b2aA5D77Aa6484886d8e244f0686aB319a270d
,MakerDAO-MIP21_LIQUIDATION_ORACLE,https://github.com/makerdao/rwa-toolkit,DeFi;Collateralized Debt Position (CDP),0x88f88Bb9E66241B73B84f3A6E197FbBa487b1E30
,MakerDAO-RWA001_A_URN,https://github.com/makerdao/rwa-toolkit,DeFi;Collateralized Debt Position (CDP),0xa3342059BcDcFA57a13b12a35eD4BBE59B873005
,MakerDAO-RWA001_A_INPUT_CONDUIT,https://github.com/makerdao/rwa-toolkit,DeFi;Collateralized Debt Position (CDP),0x486C85e2bb9801d14f6A8fdb78F5108a0fd932f2
,MakerDAO-RWA001_A_OUTPUT_CONDUIT,https://github.com/makerdao/rwa-toolkit,DeFi;Collateralized Debt Position (CDP),0xb3eFb912e1cbC0B26FC17388Dd433Cecd2206C3d
,MakerDAO-MCD_JOIN_ETH_C,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0xF04a5cC80B1E94C69B48f5ee68a08CD2F09A7c3E
,MakerDAO-RWA002,https://github.com/makerdao/rwa-toolkit,DeFi;Collateralized Debt Position (CDP),0xAAA760c2027817169D7C8DB0DC61A2fb4c19AC23
,MakerDAO-RWA002_A_URN,https://github.com/makerdao/rwa-toolkit,DeFi;Collateralized Debt Position (CDP),0x225B3da5BE762Ee52B182157E67BeA0b31968163
,MakerDAO-MCD_DOG,https://github.com/makerdao/dss,DeFi;Collateralized Debt Position (CDP),0x135954d155898D42C90D2a57824C690e0c7BEf1B
,MakerDAO-CLIPPER_MOM,https://github.com/makerdao/clipper-mom,DeFi;Collateralized Debt Position (CDP),0x79FBDF16b366DFb14F66cE4Ac2815Ca7296405A0
,MakerDAO-MCD_CLIP_LINK_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x832Dd5f17B30078a5E46Fdb8130A68cBc4a74dC0
,MakerDAO-MCD_CLIP_YFI_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x9daCc11dcD0aa13386D295eAeeBBd38130897E6f
,MakerDAO-MCD_CLIP_ETH_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0xc67963a226eddd77B91aD8c421630A1b0AdFF270
,MakerDAO-MCD_CLIP_ETH_B,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x71eb894330e8a4b96b8d6056962e7F116F50e06F
,MakerDAO-MCD_CLIP_ETH_C,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0xc2b12567523e3f3CBd9931492b91fe65b240bc47
,MakerDAO-MCD_CLIP_WBTC_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x0227b54AdbFAEec5f1eD1dFa11f54dcff9076e2C
,MakerDAO-MCD_CLIP_BAT_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x3D22e6f643e2F4c563fD9db22b229Cbb0Cd570fb
,MakerDAO-MCD_CLIP_ZRX_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0xdc90d461E148552387f3aB3EBEE0Bdc58Aa16375
,MakerDAO-MCD_CLIP_KNC_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x006Aa3eB5E666D8E006aa647D4afAB212555Ddea
,MakerDAO-MCD_CLIP_MANA_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0xF5C8176E1eB0915359E46DEd16E52C071Bb435c0
,MakerDAO-MCD_CLIP_COMP_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x2Bb690931407DCA7ecE84753EA931ffd304f0F38
,MakerDAO-MCD_CLIP_LRC_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x81C5CDf4817DBf75C7F08B8A1cdaB05c9B3f70F7
,MakerDAO-MCD_CLIP_BAL_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x6AAc067bb903E633A422dE7BE9355E62B3CE0378
,MakerDAO-MCD_CLIP_UNI_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x3713F83Ee6D138Ce191294C131148176015bC29a
,MakerDAO-MCD_CLIP_RENBTC_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x834719BEa8da68c46484E001143bDDe29370a6A3
,MakerDAO-MCD_CLIP_AAVE_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x8723b74F598DE2ea49747de5896f9034CC09349e
,MakerDAO-MCD_CLIP_UNIV2DAIETH_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x9F6981bA5c77211A34B76c6385c0f6FA10414035
